alpha,solver,fit_intercept,Accuracy,Precision,Recall,F1_Score,ROC_AUC
0.1,auto,True,0.6,0.6,0.7142857142857143,0.6521739130434783,0.6666666666666666
0.1,auto,False,0.575,0.5909090909090909,0.6190476190476191,0.6046511627906976,0.6666666666666666
0.1,saga,True,0.6,0.6,0.7142857142857143,0.6521739130434783,0.6666666666666666
0.1,saga,False,0.575,0.5909090909090909,0.6190476190476191,0.6046511627906976,0.6666666666666666
0.1,lsqr,True,0.6,0.6,0.7142857142857143,0.6521739130434783,0.6666666666666666
0.1,lsqr,False,0.575,0.5909090909090909,0.6190476190476191,0.6046511627906976,0.6666666666666666
1.0,auto,True,0.6,0.6,0.7142857142857143,0.6521739130434783,0.6716791979949875
1.0,auto,False,0.575,0.5909090909090909,0.6190476190476191,0.6046511627906976,0.6691729323308271
1.0,saga,True,0.6,0.6,0.7142857142857143,0.6521739130434783,0.6716791979949875
1.0,saga,False,0.575,0.5909090909090909,0.6190476190476191,0.6046511627906976,0.6691729323308271
1.0,lsqr,True,0.6,0.6,0.7142857142857143,0.6521739130434783,0.6716791979949875
1.0,lsqr,False,0.575,0.5909090909090909,0.6190476190476191,0.6046511627906976,0.6691729323308271
10.0,auto,True,0.65,0.64,0.7619047619047619,0.6956521739130435,0.6867167919799498
10.0,auto,False,0.575,0.5909090909090909,0.6190476190476191,0.6046511627906976,0.6867167919799498
10.0,saga,True,0.65,0.64,0.7619047619047619,0.6956521739130435,0.6867167919799498
10.0,saga,False,0.575,0.5909090909090909,0.6190476190476191,0.6046511627906976,0.6867167919799498
10.0,lsqr,True,0.65,0.64,0.7619047619047619,0.6956521739130435,0.6867167919799498
10.0,lsqr,False,0.575,0.5909090909090909,0.6190476190476191,0.6046511627906976,0.6867167919799498
