n_estimators,max_depth,Accuracy,Precision,Recall,F1_Score,ROC_AUC
100,10,0.7,0.6451612903225806,0.9523809523809523,0.7692307692307693,0.7568922305764412
100,20,0.725,0.7083333333333334,0.8095238095238095,0.7555555555555555,0.7393483709273183
100,30,0.75,0.7391304347826086,0.8095238095238095,0.7727272727272727,0.731829573934837
200,10,0.7,0.6451612903225806,0.9523809523809523,0.7692307692307693,0.7393483709273183
200,20,0.725,0.7083333333333334,0.8095238095238095,0.7555555555555555,0.7167919799498746
200,30,0.725,0.7083333333333334,0.8095238095238095,0.7555555555555555,0.7205513784461153
300,10,0.725,0.6666666666666666,0.9523809523809523,0.7843137254901961,0.7418546365914787
300,20,0.7,0.68,0.8095238095238095,0.7391304347826086,0.7268170426065163
300,30,0.7,0.68,0.8095238095238095,0.7391304347826086,0.7218045112781954
