Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.7,0.6967418546365914,0.6967418546365914,0.6984848484848485,0.0738229751586914
KNeighborsClassifier,0.675,0.6704260651629073,0.6704260651629073,0.6719047619047619,1.8576397895812988
SVC,0.675,0.6654135338345865,0.6654135338345866,0.661520737327189,0.008323192596435547
LabelSpreading,0.65,0.6491228070175439,0.6491228070175439,0.65,0.008765220642089844
LabelPropagation,0.65,0.6491228070175439,0.6491228070175439,0.65,0.008979558944702148
RandomForestClassifier,0.65,0.6466165413533835,0.6466165413533835,0.6482323232323232,0.08668255805969238
LGBMClassifier,0.625,0.62531328320802,0.62531328320802,0.625234521575985,0.03176069259643555
NearestCentroid,0.625,0.6203007518796992,0.6203007518796994,0.6214285714285713,0.010140657424926758
NuSVC,0.625,0.6152882205513784,0.6152882205513784,0.6094470046082949,0.010307073593139648
Perceptron,0.625,0.6152882205513784,0.6152882205513784,0.6094470046082949,0.007456302642822266
GaussianNB,0.6,0.5964912280701754,0.5964912280701755,0.597979797979798,0.007739067077636719
DecisionTreeClassifier,0.6,0.5939849624060151,0.5939849624060151,0.5938618925831202,0.008100032806396484
BernoulliNB,0.575,0.5726817042606516,0.5726817042606517,0.574198617221873,0.010676383972167969
RidgeClassifierCV,0.575,0.5701754385964912,0.5701754385964912,0.5709523809523809,0.009150028228759766
LinearDiscriminantAnalysis,0.575,0.5701754385964912,0.5701754385964912,0.5709523809523809,0.013149499893188477
LinearSVC,0.575,0.5701754385964912,0.5701754385964912,0.5709523809523809,0.007910013198852539
RidgeClassifier,0.575,0.5701754385964912,0.5701754385964912,0.5709523809523809,0.00898289680480957
LogisticRegression,0.575,0.5676691729323309,0.5676691729323309,0.5654094132817538,0.01158285140991211
BaggingClassifier,0.55,0.5488721804511278,0.5488721804511278,0.55,0.0234527587890625
XGBClassifier,0.55,0.5488721804511278,0.5488721804511278,0.55,0.15402793884277344
AdaBoostClassifier,0.55,0.5463659147869674,0.5463659147869675,0.5477272727272727,0.05933809280395508
CalibratedClassifierCV,0.55,0.5363408521303258,0.5363408521303259,0.512912087912088,0.030873775482177734
ExtraTreeClassifier,0.525,0.5200501253132832,0.5200501253132832,0.5204761904761904,0.007794618606567383
PassiveAggressiveClassifier,0.525,0.5200501253132832,0.5200501253132832,0.5204761904761904,0.00725555419921875
SGDClassifier,0.525,0.5175438596491228,0.5175438596491229,0.5142811089619601,0.007453441619873047
DummyClassifier,0.525,0.5,0.5,0.3614754098360656,0.007857799530029297
QuadraticDiscriminantAnalysis,0.5,0.48621553884711777,0.48621553884711777,0.45879120879120877,0.013682126998901367
